step,actic loss,critic loss,average distance,time
1220,-1286.8565,47115.5190,638.2593,0min28sec
1230,-1276.4140,46763.9357,636.8261,0min23sec
1240,-1266.2784,46412.6441,635.2911,0min26sec
1250,-1256.2393,46077.6188,633.8284,0min29sec
1260,-1246.4855,45743.4844,632.3690,0min25sec
1270,-1236.8041,45405.2547,630.8281,0min28sec
1280,-1227.2776,45071.7045,629.2790,0min29sec
1290,-1217.9050,44742.8452,627.7504,0min30sec
1300,-1208.6319,44418.0376,626.1882,0min32sec
1310,-1199.4962,44099.5124,624.6728,0min33sec
1320,-1190.4207,43784.6884,623.1573,0min30sec
1330,-1181.5714,43473.2883,621.6307,0min33sec
1340,-1172.7114,43170.4984,620.1603,0min34sec
1350,-1164.1064,42868.5561,618.6899,0min31sec
1360,-1155.6729,42570.4453,617.2432,0min32sec
1370,-1147.4224,42277.2588,615.7714,0min37sec
1380,-1139.1096,41989.2794,614.3595,0min36sec
1390,-1131.0640,41704.7322,612.9789,0min37sec
1400,-1123.0558,41423.3906,611.5824,0min37sec
1410,-1115.0430,41147.7463,610.2412,0min33sec
1420,-1107.2623,40875.7667,608.8838,0min37sec
1430,-1099.6166,40605.4610,607.5418,0min35sec
1440,-1092.1207,40339.6988,606.2191,0min39sec
1450,-1084.6328,40076.9850,604.8999,0min38sec
1460,-1077.3375,39816.4998,603.5923,0min36sec
1470,-1070.0644,39559.8540,602.2833,0min38sec
1480,-1062.9575,39305.9765,600.9798,0min37sec
1490,-1055.9992,39057.8642,599.7302,0min37sec
1500,-1048.9834,38815.0184,598.5274,0min36sec
1510,-1042.0915,38574.2348,597.3269,0min28sec
1520,-1035.3187,38333.6460,596.0905,0min28sec
1530,-1028.6064,38095.2438,594.8715,0min19sec
1540,-1022.0003,37860.3724,593.6712,0min25sec
1550,-1015.4671,37628.3016,592.4821,0min21sec
1560,-1009.0266,37400.3692,591.3214,0min39sec
1570,-1002.6542,37174.5836,590.1676,0min30sec
1580,-996.5427,36962.8771,589.1433,0min22sec
1590,-990.2819,36746.1745,588.0319,0min26sec
1600,-984.1694,36528.7552,586.9172,0min26sec
1610,-978.0987,36313.4758,585.7950,0min28sec
1620,-972.1129,36100.9207,584.6981,0min27sec
1630,-966.1984,35891.9518,583.6266,0min25sec
1640,-960.3513,35685.4173,582.5658,0min25sec
1650,-954.5745,35480.9862,581.5167,0min25sec
1660,-948.8662,35279.3199,580.4718,0min26sec
1670,-943.2457,35079.5702,579.4457,0min25sec
1680,-937.6817,34882.2412,578.4284,0min27sec
1690,-932.1935,34687.3604,577.4137,0min27sec
1700,-926.7509,34495.2879,576.4277,0min23sec
1710,-921.3505,34306.4759,575.4593,0min25sec
1720,-916.0360,34118.4746,574.4910,0min33sec
1730,-910.7870,33931.9557,573.5216,0min28sec
1740,-905.5757,33747.3771,572.5731,0min25sec
1750,-900.4429,33565.6302,571.6484,0min31sec
1760,-895.3772,33386.0044,570.7282,0min31sec
1770,-890.3518,33208.0173,569.8122,0min28sec
1780,-885.3967,33031.8282,568.9042,0min25sec
1790,-880.4883,32857.2622,567.9925,0min28sec
1800,-875.6572,32684.9668,567.0981,0min26sec
1810,-870.8631,32514.3092,566.2122,0min29sec
1820,-866.1256,32345.9728,565.3444,0min25sec
1830,-861.4187,32179.3382,564.4816,0min24sec
1840,-856.7664,32015.3958,563.6454,0min39sec
1850,-852.2069,31852.7615,562.7999,0min27sec
1860,-847.6466,31692.1450,561.9697,0min32sec
1870,-843.1748,31533.0094,561.1462,0min28sec
1880,-838.7037,31375.1967,560.3343,0min27sec
1890,-834.3024,31219.0818,559.5246,0min27sec
1900,-829.9362,31065.7450,558.7398,0min25sec
1910,-825.6581,30912.7659,557.9409,0min28sec
1920,-821.3895,30761.5368,557.1568,0min27sec
1930,-817.1591,30611.3486,556.3668,0min44sec
1940,-813.0028,30463.3188,555.6008,0min39sec
1950,-808.8761,30316.5628,554.8378,0min37sec
1960,-804.8293,30171.3762,554.0740,0min40sec
1970,-800.7779,30027.2049,553.3176,0min47sec
1980,-796.7661,29884.5801,552.5700,0min44sec
1990,-792.8012,29743.4879,551.8319,0min51sec
2000,-788.8736,29603.8893,551.1106,0min43sec
2010,-785.0270,29466.0924,550.3819,0min32sec
2020,-781.1528,29329.0231,549.6580,0min37sec
2030,-777.3165,29194.1112,548.9635,0min40sec
2040,-773.5367,29060.3657,548.2779,0min36sec
2050,-769.7709,28927.3691,547.5774,0min44sec
2060,-766.0446,28795.6894,546.8813,0min33sec
2070,-762.3754,28664.8934,546.1899,0min42sec
2080,-758.7215,28535.6702,545.5057,0min33sec
2090,-755.1297,28408.0102,544.8433,0min40sec
2100,-751.5424,28281.0630,544.1701,0min38sec
2110,-748.0062,28155.6107,543.5029,0min32sec
2120,-744.5083,28031.1536,542.8450,0min44sec
2130,-741.0626,27908.4063,542.1984,0min32sec
2140,-737.6423,27787.4146,541.5631,0min34sec
2150,-734.2366,27670.1811,540.9712,0min35sec
2160,-730.9286,27551.2563,540.3647,0min32sec
2170,-727.5870,27433.3815,539.7526,0min40sec
2180,-724.2653,27317.0377,539.1663,0min31sec
2190,-720.9895,27201.2479,538.5671,0min39sec
2200,-717.7576,27085.6854,537.9701,0min35sec
2210,-714.5413,26970.6399,537.3643,0min44sec
2220,-711.3510,26857.5172,536.7822,0min33sec
2230,-708.2249,26744.9959,536.1859,0min37sec
2240,-705.1141,26633.3652,535.5950,0min43sec
2250,-701.9899,26522.5427,535.0034,0min31sec
2260,-698.8894,26412.9350,534.4219,0min39sec
2270,-695.8215,26304.1692,533.8411,0min50sec
2280,-692.8423,26197.2860,533.2724,0min34sec
2290,-689.8310,26090.8859,532.7043,0min38sec
2300,-686.8530,25984.7432,532.1412,0min44sec
2310,-683.9143,25879.7569,531.5814,0min43sec
2320,-681.0077,25775.5133,531.0308,0min48sec
2330,-678.1186,25672.2779,530.4749,0min49sec
2340,-675.2460,25569.6202,529.9249,0min43sec
2350,-672.3990,25467.9401,529.3828,0min48sec
2360,-669.5866,25367.0419,528.8415,0min40sec
2370,-666.7701,25267.3165,528.3100,0min58sec
2380,-663.9919,25168.3429,527.7767,0min40sec
2390,-661.2380,25071.4657,527.2790,0min50sec
2400,-658.5222,24974.5720,526.7689,0min43sec
2410,-655.8087,24878.0619,526.2646,0min59sec
2420,-653.1304,24782.6113,525.7648,0min43sec
2430,-650.4643,24688.1346,525.2731,0min54sec
2440,-647.8344,24594.5535,524.7831,0min53sec
2450,-645.2114,24501.3808,524.2913,0min47sec
2460,-642.6140,24409.0153,523.8010,1min1sec
2470,-640.0412,24317.2993,523.3116,0min43sec
2480,-637.4936,24226.0858,522.8228,0min50sec
2490,-634.9363,24135.6576,522.3405,0min34sec
2500,-632.4298,24046.4747,521.8692,0min46sec
2510,-629.9480,23958.0639,521.4030,0min37sec
2520,-627.4437,23870.0878,520.9470,0min39sec
2530,-624.9747,23783.3105,520.4810,0min47sec
2540,-622.5609,23696.8708,520.0168,0min44sec
2550,-620.1439,23610.9538,519.5525,0min46sec
2560,-617.7392,23525.2961,519.0922,0min35sec
2570,-615.3579,23440.1601,518.6362,0min39sec
2580,-613.0098,23355.7139,518.1798,0min36sec
2590,-610.6627,23272.0258,517.7383,0min35sec
2600,-608.3279,23189.4507,517.3014,0min34sec
2610,-605.9638,23108.0029,516.8692,0min40sec
2620,-603.6977,23026.1172,516.4288,0min36sec
2630,-601.4259,22944.6524,515.9851,0min35sec
2640,-599.1759,22863.9015,515.5500,0min34sec
2650,-596.9356,22783.7212,515.1155,0min38sec
2660,-594.6989,22704.1716,514.6872,0min25sec
2670,-592.4951,22625.3420,514.2709,0min26sec
2680,-590.3098,22547.1365,513.8515,0min34sec
2690,-588.1196,22469.4913,513.4269,0min51sec
2700,-585.9657,22392.3395,513.0128,0min35sec
2710,-583.8281,22315.7331,512.6003,0min36sec
2720,-581.6981,22239.6939,512.1979,0min37sec
